review,rating,date,bank,source
good people doing good work,5,2025-06-02,Chase,Google Play Store
Love Chase rotating 5% bonus categories!,5,2025-06-02,Chase,Google Play Store
"works good for me, but when it doesn't customer service always professional and polite",5,2025-06-02,Chase,Google Play Store
it is very user friendly.,5,2025-06-02,Chase,Google Play Store
easy to use,5,2025-06-02,Chase,Google Play Store
Easy to navigate,5,2025-06-02,Chase,Google Play Store
"everything is easy to do, like make a payment",5,2025-06-02,Chase,Google Play Store
nice points are the best,5,2025-06-02,Chase,Google Play Store
"Love this app. Thank you, Chase Bank",5,2025-06-02,Chase,Google Play Store
I love having a bank account with chase bank,5,2025-06-02,Chase,Google Play Store
very friendly and great customer service,5,2025-06-02,Chase,Google Play Store
just another brick in the wall.,4,2025-06-02,Chase,Google Play Store
"Question, why do I have to tap on search twice before the keyboard comes up? isnt it clear that I tapped on search to start typing in the search bar? This only happens in your app and only on your search bar, no where else.",2,2025-06-02,Chase,Google Play Store
sucked,1,2025-06-02,Chase,Google Play Store
"I needed to lock my card due to a fraudulent charge, but that part of the website isn't working. Now the charge will go through because of this flaw in the website.",1,2025-06-01,Chase,Google Play Store
good,5,2025-06-01,Chase,Google Play Store
very good,5,2025-06-01,Chase,Google Play Store
very good service & so convenient. No hassle no having to ride to the bank. Its just a service that takes an extra load off of a person's back. Thank u 💓,5,2025-06-01,Chase,Google Play Store
been great for us!,5,2025-06-01,Chase,Google Play Store
great banking experience,5,2025-06-01,Chase,Google Play Store
CHASE MOBILE IS A GREATVSITE. EASY TO USE,5,2025-06-01,Chase,Google Play Store
Great Customer Service. Very helpful. Professional but still personable,5,2025-06-01,Chase,Google Play Store
push app does not work,1,2025-06-01,Chase,Google Play Store
Great app and great customer service,5,2025-06-01,Chase,Google Play Store
perfect everything. always.,5,2025-06-01,Chase,Google Play Store
great,5,2025-06-01,Chase,Google Play Store
Excellent app,5,2025-06-01,Chase,Google Play Store
slow,1,2025-06-01,Chase,Google Play Store
stop giving our info away.😤,1,2025-06-01,Chase,Google Play Store
too many ads that lock up the app 7noess you subscribe.,1,2025-06-01,Chase,Google Play Store
love Chase Bank!! 🩷,5,2025-06-01,Chase,Google Play Store
It stop working june 01 2025,1,2025-06-01,Chase,Google Play Store
good,4,2025-06-01,Chase,Google Play Store
The service use has worked well for me.,4,2025-06-01,Chase,Google Play Store
love it,5,2025-06-01,Chase,Google Play Store
good and easy,3,2025-06-01,Chase,Google Play Store
so easy and quick great app,5,2025-06-01,Chase,Google Play Store
I love how simple and easy it is to use.,5,2025-06-01,Chase,Google Play Store
Great credit cards. App is clean and easy to use.,5,2025-06-01,Chase,Google Play Store
Great card Great app. period,5,2025-06-01,Chase,Google Play Store
"Chase told me I needed to use my card, or else they would close that account. I don't want to lose that account because that would hurt my credit score. I just tried to unlock my card for use, but the computer things on Chase's side weren't working, so I couldn't unlock or use it. This is a big reason why my Chase cards aren't my normal to-go assets.",1,2025-06-01,Chase,Google Play Store
works great no complaints,5,2025-06-01,Chase,Google Play Store
they don't piss me off. and that's saying a lot.,4,2025-06-01,Chase,Google Play Store
good,5,2025-05-31,Chase,Google Play Store
good service and professional and friendly,5,2025-05-31,Chase,Google Play Store
excellent way to take care of your credit,5,2025-05-31,Chase,Google Play Store
Is a pledger to have Joe bank on your phone. But I need to learn you that a little better too cause. You can hurt you if you don't use it right,5,2025-05-31,Chase,Google Play Store
awesome,5,2025-05-31,Chase,Google Play Store
Awesome,5,2025-05-31,Chase,Google Play Store
Overall easy to use interface.,5,2025-05-31,Chase,Google Play Store
